City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,Sept-Iles,50.2001,-66.3821,37.06,56,20,16.11,CA,2022-04-03 15:48:06
267,Manadhoo,5.7667,73.3833,83.59,67,12,3.06,MV,2022-04-03 15:48:06
268,Siyabuswa,-25.1132,29.0445,75.43,51,89,12.91,ZA,2022-04-03 15:48:06
269,Lasa,46.6166,10.7002,44.69,82,99,1.01,IT,2022-04-03 15:48:06
270,Vylkove,45.4021,29.586,46.47,62,92,16.55,UA,2022-04-03 15:48:07
271,Puyang,29.4603,119.8861,46.24,73,5,3.2,CN,2022-04-03 15:48:07
272,Ust-Uda,54.1742,103.0304,22.3,96,100,1.3,RU,2022-04-03 15:48:07
273,Carinhanha,-14.3047,-43.765,94.96,26,10,9.46,BR,2022-04-03 15:48:08
274,Simi,9.5667,-12.35,101.01,19,91,4.38,SL,2022-04-03 15:48:08
275,Tres Pontas,-21.3667,-45.5125,74.84,73,86,9.26,BR,2022-04-03 15:48:08
276,Severo-Kurilsk,50.6789,156.125,29.07,86,23,12.68,RU,2022-04-03 15:48:08
277,Muncar,-8.4333,114.3333,75.31,92,32,3.2,ID,2022-04-03 15:48:09
278,Jalu,29.0331,21.5482,90.64,9,0,10.33,LY,2022-04-03 15:48:09
279,Qaqortoq,60.7167,-46.0333,43.84,61,98,3.98,GL,2022-04-03 15:48:09
280,Mayo,38.8876,-76.5119,60.91,52,0,10.0,US,2022-04-03 15:43:17
281,Igarka,67.4667,86.5833,-4.61,100,60,2.3,RU,2022-04-03 15:43:10
282,Mizdah,31.4451,12.9801,77.67,24,0,13.91,LY,2022-04-03 15:48:10
283,Sistranda,63.7256,8.834,33.76,61,100,16.15,NO,2022-04-03 15:48:10
284,Puerto Maldonado,-12.6,-69.1833,82.8,61,20,3.44,PE,2022-04-03 15:48:10
285,Cherskiy,68.75,161.3,-4.29,99,100,4.16,RU,2022-04-03 15:48:11
286,Sucre,-19.0333,-65.2627,64.9,57,64,7.81,BO,2022-04-03 15:48:11
287,Shahreza,32.0339,51.8794,69.37,14,1,0.98,IR,2022-04-03 15:48:11
288,Sereflikochisar,38.9393,33.5386,60.46,37,100,27.83,TR,2022-04-03 15:48:11
289,Kodinar,20.7903,70.7031,78.15,76,0,9.78,IN,2022-04-03 15:48:12
290,Pasinler,39.9803,41.6764,50.99,77,100,3.31,TR,2022-04-03 15:48:12
291,Lata,40.1629,-8.3327,57.81,23,13,12.12,PT,2022-04-03 15:48:12
